id_celda,sitio,tecnologia,banda_mhz,tipo_sector,partido_comuna,comuna,localidad,provincia,region,subregion,cabecera
WCS114Y,CS114,3G,850,Outdoor,CABA COMUNA 08,8,VILLA RIACHUELO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS114Z,CS114,3G,850,Outdoor,CABA COMUNA 08,8,VILLA RIACHUELO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS115X,CS115,3G,850,Outdoor,CABA COMUNA 09,9,PARQUE AVELLANEDA,CABA,AMBA,CF,CAPITAL FEDERAL
WCS115Y,CS115,3G,850,Outdoor,CABA COMUNA 09,9,PARQUE AVELLANEDA,CABA,AMBA,CF,CAPITAL FEDERAL
WCS115Z,CS115,3G,850,Outdoor,CABA COMUNA 09,9,PARQUE AVELLANEDA,CABA,AMBA,CF,CAPITAL FEDERAL
WCS117A,CS117,3G,850,Outdoor,CABA COMUNA 04,4,BARRACAS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS117C,CS117,3G,850,Outdoor,CABA COMUNA 04,4,BARRACAS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS117X,CS117,3G,850,Outdoor,CABA COMUNA 04,4,BARRACAS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS117Y,CS117,3G,850,Outdoor,CABA COMUNA 04,4,BARRACAS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS117Z,CS117,3G,850,Outdoor,CABA COMUNA 04,4,BARRACAS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS118C,CS118,3G,850,Outdoor,CABA COMUNA 04,4,PARQUE PATRICIOS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS118X,CS118,3G,850,Outdoor,CABA COMUNA 04,4,PARQUE PATRICIOS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS118Y,CS118,3G,850,Outdoor,CABA COMUNA 04,4,PARQUE PATRICIOS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS118Z,CS118,3G,850,Outdoor,CABA COMUNA 04,4,PARQUE PATRICIOS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS119A,CS119,3G,850,Outdoor,CABA COMUNA 07,7,FLORES,CABA,AMBA,CF,CAPITAL FEDERAL
